id,name,seasonYear,teamName,tier,era,overall,aeroEfficiency,slowCorner,mediumCorner,fastCorner,straightLineSpeed,mechanicalGrip,braking,tireWear,setupWindow,reliability,developmentPotential,stableRear,strongFrontEnd,nervousRear,traction,strengths,weaknesses,notes,confidence_level,budgetCost
car-mclaren-mp44-1988,McLaren MP4/4,1988,McLaren,S,80s,99,97,95,98,98,95,94,90,88,95,96,80,1,1,0,1,"Perfection in packaging, aerodynamics and reliability.",None.,The most statistically dominant car of all time.,high,243
car-williams-fw14b-1992,Williams FW14B,1992,Williams,S,90s,98,97,98,99,99,90,98,90,86,80,90,85,1,1,0,1,Unmatched active ride and technological superiority.,Heavy steering and immense physical toll on the driver.,The car from another planet. Dominated 1992.,high,237
car-williams-fw15c-1993,Williams FW15C,1993,Williams,S,90s,99,98,99,99,99,92,97,95,86,85,91,80,1,1,0,1,The most technologically advanced F1 car ever built.,Very complex systems that occasionally failed.,"Traction control, ABS, active suspension, fly-by-wire.",high,243
car-benetton-b194-1994,Benetton B194,1994,Benetton,A,90s,93,91,90,92,95,85,93,90,85,60,84,90,0,1,1,1,"Nimble, incredible turn-in and aero efficiency.",Nervous rear end that only Schumacher could tame.,Won the title despite a power deficit due to Schumacher and great aero.,high,210
car-benetton-b195-1995,Benetton B195,1995,Benetton,S,90s,96,91,92,95,95,95,94,90,86,70,88,85,0,1,1,1,Renault V10 power combined with Benetton chassis.,"Still had a very pointy, nervous characteristic.",Cruised to the double championship in 1995.,high,223
car-ferrari-f2002-2002,Ferrari F2002,2002,Ferrari,S,00s,99,97,95,98,98,95,95,95,91,95,97,90,1,1,0,1,Perfect balance and bulletproof reliability.,None.,Schumacher finished on the podium in every single race of 2002.,high,243
car-ferrari-f2004-2004,Ferrari F2004,2004,Ferrari,S,00s,99,98,95,98,99,98,96,98,94,95,98,85,1,1,0,1,"The fastest F1 car of its generation, holding records for over a decade.",None.,The pinnacle of the V10 era.,high,243
car-renault-r25-2005,Renault R25,2005,Renault,S,00s,96,93,98,95,90,88,96,95,94,90,94,85,1,0,0,1,"Mass damper, rear traction, reliability, tire management.","Top speed, understeer.",Beat the faster McLaren through reliability and tire management.,high,223
car-renault-r26-2006,Renault R26,2006,Renault,S,00s,97,94,98,95,92,92,96,95,93,90,96,80,1,0,0,1,"Traction, mass damper, tire usage.",Lost the mass damper mid-season but still won.,Fought off the resurgent Ferrari 248 F1.,high,230
car-mclaren-mp420-2005,McLaren MP4-20,2005,McLaren,A,00s,97,98,90,98,99,99,93,95,87,85,68,90,1,1,0,1,The fastest car of 2005 by a margin.,Abysmal reliability cost them both titles.,A glass cannon. Kimi Raikkonen's heartbreakingly fast car.,high,230
car-ferrari-f2007-2007,Ferrari F2007,2007,Ferrari,S,00s,96,94,85,95,98,98,93,95,90,85,95,85,1,1,0,1,"Fast corners and long straights (Spa, Silverstone).","Slow, tight corners (Monaco, Hungary).",Won the constructors and drivers title against the MP4-22.,high,223
car-mclaren-mp423-2008,McLaren MP4-23,2008,McLaren,S,00s,95,94,95,95,90,95,93,98,88,85,94,95,0,1,1,1,"Tire warmup, braking, slow corners, wet weather.",High speed aero compared to Ferrari.,Hamilton's first championship car.,high,217
car-brawn-bgp001-2009,Brawn BGP 001,2009,Brawn GP,A,00s,94,96,90,95,95,90,91,90,92,80,95,60,1,1,0,1,Double diffuser aero dominance early season.,"Tire warmup in cold weather, lack of development budget.","A miracle car. Dominated first half, survived second half.",high,210
car-redbull-rb7-2011,Red Bull RB7,2011,Red Bull,S,10s,98,98,90,98,99,85,93,95,88,90,93,95,1,1,0,1,"Qualifying pace (18 poles in 19 races), exhaust blowing.","Top speed, DRS effectiveness.",One of Newey's greatest masterpieces.,high,237
car-redbull-rb9-2013,Red Bull RB9,2013,Red Bull,S,10s,98,99,90,98,99,88,94,95,90,85,92,95,1,1,0,1,Unmatched rear downforce from off-throttle blowing.,Alternator reliability occasionally.,Won 9 races in a row with Vettel in the second half of 2013.,high,237
car-mercedes-w05-2014,Mercedes F1 W05 Hybrid,2014,Mercedes,S,10s,99,95,95,95,95,99,95,95,80,95,85,90,1,1,0,1,"Overwhelming power advantage, excellent chassis.",Minor reliability issues.,The start of the most dominant dynasty in F1 history.,high,243
car-mercedes-w11-2020,Mercedes-AMG F1 W11 EQ Performance,2020,Mercedes,S,20s,100,99,95,99,100,98,96,95,93,95,97,85,1,1,0,1,The fastest F1 car ever built. DAS system.,None.,Perfection. The fastest car to ever lap a Formula 1 circuit.,high,250
car-redbull-rb16b-2021,Red Bull Racing RB16B,2021,Red Bull,A,20s,95,95,95,95,90,95,94,95,90,80,92,95,0,1,1,1,"Tire warmup, slow corner rotation, high rake.",Nervous rear end that only Verstappen could extract.,Ended the Mercedes drivers' championship streak.,high,217
car-redbull-rb18-2022,Red Bull Racing RB18,2022,Red Bull,S,20s,97,97,90,95,95,99,94,90,94,90,93,99,1,1,0,1,"Top speed, DRS efficiency, race pace, tire wear.","Overweight early in the season, qualifying pace deficit to Ferrari.",The car that cracked the ground effect regulations.,high,230
car-redbull-rb19-2023,Red Bull Racing RB19,2023,Red Bull,S,20s,99,99,95,95,98,98,96,95,98,95,97,80,1,1,0,1,"Race pace, tire management, DRS efficiency, reliability.",Occasionally struggled to fire up tires for qualifying (e.g. Singapore).,Won 21 of 22 races. Statistically the most successful car ever.,high,243
car-ferrari-f175-2022,Ferrari F1-75,2022,Ferrari,A,20s,94,93,98,95,90,85,94,95,78,90,72,75,1,1,0,1,"Qualifying pace, slow corners, traction.","Tire degradation, top speed, reliability.","The fastest car on a Saturday, but flawed on Sundays.",high,210
car-mclaren-mcl38-2024,McLaren MCL38,2024,McLaren,A,20s,96,94,90,98,99,90,95,95,92,95,94,99,1,1,0,1,"Fast corners, tire management, adaptable to all tracks.",Slight top speed deficit early on.,"Turned the 2024 season around, overtaking Red Bull in performance.",high,223
