id,name,nationalityCode,era,tier,aerodynamics,mechanicalDesign,innovation,reliabilityFocus,developmentSpeed,regulationExploitation,setupUnderstanding,riskProfile,notes,confidence_level,budgetCost
director-adrian-newey,Adrian Newey,GB,90s-20s,S,100,94,99,82,96,99,96,95,"Referência histórica em aerodinâmica e interpretação de regulamento. Teto técnico altíssimo, mas soluções agressivas podem exigir boa operação e confiabilidade.",high,150
director-aldo-costa,Aldo Costa,IT,00s-10s,A,88,96,84,98,92,88,94,70,"Forte em execução técnica, robustez, integração mecânica e confiabilidade. Menos disruptivo, mas muito eficiente em equipes dominantes.",high,108
director-bob-bell,Bob Bell,GB,90s-10s,B,86,88,86,90,88,86,90,82,"Perfil técnico sólido, bom em operação e integração de equipe de fábrica.",high,84
director-colin-chapman-td,Colin Chapman (TD Archetype),GB,60s-70s,S,96,95,100,55,92,98,88,95,"Inovação extrema e revolucionária, mas com risco elevado e baixo foco em confiabilidade.",high,125
director-gerard-ducarouge,Gérard Ducarouge,FR,70s-90s,A,93,88,92,82,88,90,90,82,"Forte em aerodinâmica e carros competitivos dos anos 1980, com bom teto técnico.",high,98
director-gordon-murray,Gordon Murray,ZA,70s-90s,S,92,99,100,82,90,97,92,95,"Projetista genial, extremamente inovador, forte em arquitetura mecânica e soluções radicais, com algum risco técnico.",high,132
director-harvey-postlethwaite,Harvey Postlethwaite,GB,70s-90s,B,86,90,88,88,86,86,90,82,"Projetista sólido e respeitado, bom em equipes médias e em extrair desempenho com recursos limitados.",high,86
director-james-allison,James Allison,GB,10s-20s,A,94,92,91,96,94,92,95,82,"Forte em pacotes técnicos modernos, integração, confiabilidade e desenvolvimento consistente.",high,118
director-james-key,James Key,GB,10s-20s,B,87,86,84,86,84,84,86,82,"Projetista moderno competitivo, útil para equipes médias, mas abaixo dos técnicos dominantes.",high,76
director-john-barnard,John Barnard,GB,80s-90s,S,91,98,99,78,88,96,90,95,"Inovador estrutural e mecânico, pioneiro em soluções técnicas, mas com perfil menos conservador em confiabilidade.",high,126
director-loic-serra,Loïc Serra,FR,10s-20s,B,80,90,84,90,88,84,92,70,"Especialista em dinâmica veicular, pneus e performance operacional, mais forte em mecânica/acerto do que em aero pura.",high,78
director-mauro-forghieri,Mauro Forghieri,IT,60s-90s,S,88,96,98,88,92,94,95,95,"Figura técnica histórica da Ferrari, extremamente versátil e inovadora em motor, chassi e arquitetura de carros.",high,118
director-mike-gascoyne,Mike Gascoyne,GB,90s-10s,B,88,86,86,82,86,84,86,82,"Projetista competitivo em equipes médias, útil para pacotes sólidos, mas sem teto de elite histórica.",high,78
director-neil-oatley,Neil Oatley,GB,80s-00s,B,86,88,84,90,86,84,88,70,"Perfil de engenharia sólido e conservador, bom para confiabilidade e estabilidade técnica.",high,80
director-nikolas-tombazis,Nikolas Tombazis,GR,00s-20s,B,91,84,86,82,84,88,86,82,"Forte em aerodinâmica, mas sem impacto geral equivalente aos maiores diretores técnicos.",high,82
director-paddy-lowe,Paddy Lowe,GB,90s-20s,B,84,90,88,88,86,88,88,82,"Forte experiência técnica em equipes vencedoras, mas impacto individual inferior aos grandes projetistas históricos.",high,82
director-pat-symonds,Pat Symonds,GB,90s-20s,A,86,90,90,92,94,93,96,82,"Forte em integração técnica, entendimento operacional, desenvolvimento e acerto de carros competitivos.",high,100
director-patrick-head,Patrick Head,GB,80s-90s,A,82,98,88,92,90,88,92,82,"Engenheiro mecânico excepcional, forte em suspensão, robustez, integração e cultura técnica da Williams.",high,104
director-pierre-wache,Pierre Waché,FR,10s-20s,A,95,92,90,92,94,93,94,82,"Perfil moderno de alto desempenho, forte em aero, integração e sustentação de pacote vencedor.",medium,116
director-rory-byrne,Rory Byrne,ZA,90s-00s,S,96,96,92,97,94,94,96,82,"Projetista extremamente completo, forte em integração, equilíbrio, confiabilidade e carros campeões consistentes.",high,135
director-ross-brawn-td,Ross Brawn (TD Archetype),GB,90s-00s,A,84,92,94,96,95,98,98,82,"Excelente em estratégia técnica, interpretação de regulamento, desenvolvimento e entendimento operacional do carro.",high,112
